1	170256368	170256655	100
2	33667250	33667556	98
2	53168449	53168451	96.9
2	230291212	230291215	99.4
4	29439624	29439626	99.4
4	82695009	82695013	96.4
4	120006966	120006968	99.2
5	32338476	32338478	99.2
6	36925401	36925403	99.2
6	138453940	138453942	99.4
7	57345973	57345975	100
8	62102700	62103026	96.8
8	96531931	96532154	99.5
8	125218359	125218361	100
9	37621683	37621688	99.6
10	90373859	90373861	100
11	49862019	49862023	94.6
11	70028717	70028720	99.4
12	6366257	6366259	99.3
13	63588078	63588080	96.5
20	9301931	9301933	99.5
20	21474462	21474813	99.8
22	27051911	27051913	100
